"TICKER","MARKET","YEAR","LISTPRICE","VOLUMEIPODAY","OPENPRICEIPODAY","HIGHESTPRICEIPODAY","CLOSINGPRICEIPODAY","NEWSHARES","TOTALAPPLICATIONS","TOTALAPPLICATIONSHARES","TOTALBALLOTINGOSCBED"
1,"ACE",2022,0.326910428212503,1626001,0.283640616182513,0.344,0.299,NA,NA,NA,15.2670679673611
2,"ACE",2022,0.256629308896575,856113,0.274848013013936,0.262,0.246,NA,NA,NA,7.0760356000968
3,"ACE",2022,0.316476090031109,2467242,0.308005586852462,0.314,0.281,NA,NA,NA,50.6920667702597
4,"ACE",2022,0.295884222650541,1626850,0.263305088691663,0.319,0.304,NA,NA,NA,15.4768534960097
5,"MAIN",2022,0.914871437023804,1575294,1.10782254222312,1.097,1.075,NA,NA,NA,18.4326395996745
6,"ACE",2022,0.31975157719619,2469383,0.597356019438434,0.699,0.64,NA,NA,NA,49.4705457873586
7,"ACE",2022,0.320595881220968,2346904,0.264887883309534,0.3,0.309,NA,NA,NA,7.2171167185381
8,"ACE",2022,0.573608746532342,1126651,0.995757594290848,1.181,0.786,NA,NA,NA,18.7007115722642
9,"ACE",2022,0.299917575219723,667124,0.287730046620589,0.3,0.29,NA,NA,NA,113.910727453976
10,"ACE",2022,0.320489469276379,670380,0.293386756026205,0.327,0.293,NA,NA,NA,117.434079028233
11,"ACE",2022,0.32014646108298,667925,0.358413377550513,0.381,0.29,NA,19194,NA,41.2693880514379
12,"ACE",2022,0.492969410409456,1498511,0.749048254683351,0.82,0.754,NA,NA,NA,41.9202507633752
13,"ACE",2022,0.259603202529601,1392071,0.331811936352012,0.365,0.3,NA,23217,NA,41.6927243275818
14,"ACE",2022,0.273819191423396,2527174,0.265478156261439,0.268,0.255,NA,NA,NA,118.875213245328
15,"ACE",2022,0.319978495122448,665257,0.328811392343902,0.288,0.154,NA,NA,NA,50.7022026208297
16,"ACE",2022,0.319953632371323,668852,0.359397625660611,0.423,0.336,NA,NA,NA,57.2275885212896
17,"ACE",2022,0.278552563096884,1474269,0.488517646217856,0.43,0.36,2057567,NA,NA,44.0281384755356
