STOCK,MARKET,YEAR,PUBLICBALLOTINGOSCBED,LISTPRICE,VOLUMEIPODAY,OPENPRICEIPODAY,HIGHESTPRICEIPODAY,CLOSINGPRICEIPODAY
TUJUSETIA,MAIN,2021,42.07,0.7,1145707,0.775,0.875,0.74
YENHER,MAIN,2021,13.8,0.95,618271,0.995,1.0,0.9
CTOS,MAIN,2021,27.57,1.1,3663593,1.5,1.76,1.62
AURELIUS,MAIN,2021,20.27,1.36,1870413,1.41,1.85,1.7
SWIFT,MAIN,2021,18.85,1.03,1585591,1.08,1.13,0.96
HPP,ACE,2021,33.44,0.36,2829182,0.57,0.71,0.71
MOBILIA,ACE,2021,92.17,0.23,3105015,0.65,0.76,0.555
TELADAN,ACE,2021,17.47,0.48,1967955,0.6,0.64,0.57
FLEXIDYNAMIC,ACE,2021,155.72,0.2,1079398,0.69,0.72,0.43
VOLCANO,ACE,2021,176.6,0.35,1044614,0.7,0.705,0.485
PEKAT,ACE,2021,75.99,0.32,2432996,0.85,0.93,0.815
NESTCON,ACE,2021,57.13,0.28,2570554,0.3,0.37,0.32
RAMSSOL,ACE,2021,102.88,0.45,1501863,0.7,0.73,0.51
HAILY,ACE,2021,38.81,0.68,963390,0.79,0.815,0.74
CEKD,ACE,2021,131.61,0.48,983295,0.6,0.62,0.545
ECOMATE,ACE,2021,98.94,0.33,1454417,0.68,0.705,0.485
MRDIY,MAIN,2020,3.91,1.6,4101546,1.6,1.8,1.75
ACO,ACE,2021,15.53,0.28,472273,0.2,0.245,0.16
ECONFRAME,ACE,2020,40.23,0.28,2945498,0.345,0.435,0.37
ANEKAJARINGAN,ACE,2020,12.68,0.33,1237112,0.35,0.35,0.29
SOUTHERNCABLE,ACE,2020,10.5,0.34,3049488,0.335,0.385,0.33
SAMAIDEN,ACE,2020,65.91,0.48,1552718,1.0,1.12,0.805
OPTIMAX,ACE,2020,82.0,0.3,1068858,0.71,0.76,0.685
TCS,ACE,2020,33.39,0.23,2070206,0.585,0.605,0.45
OCEANVANTAGE,ACE,2020,15.9,0.26,2169094,0.43,0.55,0.53
RESERVOIRLINK,ACE,2020,11.49,0.41,1892735,0.65,0.79,0.515
INNATURE,MAIN,2020,13.43,0.68,1437031,0.72,0.74,0.655
POWERWELL,ACE,2020,24.27,0.25,3041193,0.255,0.3,0.285
SOLARVEST,ACE,2019,35.0,0.35,298350,0.745,0.805,0.77
SDS,ACE,2019,11.34,0.23,1086974,0.26,0.27,0.255
MTAG,ACE,2019,3.84,0.53,2880588,0.7,0.7,0.44
ISTONE,ACE,2019,11.56,0.16,4479182,0.25,0.275,0.245
UWC,MAIN,2019,4.98,0.82,2007124,1.1,1.4,1.4
MESTRON,ACE,2019,17.53,0.16,3677031,0.2,0.21,0.165
GREATECH,ACE,2019,9.41,0.61,1927214,0.635,0.78,0.74
HPMT,MAIN,2019,8.27,0.56,711873,0.58,0.58,0.5
LEONGHUP,MAIN,2019,3.64,1.1,2153991,1.12,1.19,1.1
GAGASANNADI,ACE,2019,20.2,0.3,1185984,0.39,0.4,0.305
DPI,ACE,2019,23.0,0.25,1284897,0.345,0.35,0.27
SPRINGART,ACE,2019,14.7,0.25,957964,0.25,0.26,0.25
AME ELITE,MAIN,2019,4.39,1.3,497515,1.28,1.59,1.55
TASHIN,ACE,2019,5.42,0.58,531492,0.58,0.58,0.485
KIM HIN JOO,MAIN,2019,7.67,0.43,353804,0.39,0.39,0.35
